"Country","Total Cases","New Cases","Total Deaths","New Deaths","Total Recovered","Active Cases","Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,"Total Tests",Tests/1M pop,CASES per Test,Death in Closed Cases,Rank by Testing rate,Rank by Death rate,Rank by Cases rate,Rank by Death of Closed Cases 
Slovakia,"3,102.00",80,33,,"2,014.00","1,055.00",8,568,6,"304,021.00","55,681.00","5,460,016",1.61%,83,148,142,151
Sri Lanka,"2,918.00",16,11,,"2,765.00",142,1,136,0.5,"195,025.00","9,102.00","21,425,788",0.40%,154,183,187,189
Rwanda,"2,717.00",73,11,1,"1,705.00","1,001.00",,209,0.8,"351,383.00","27,042.00","12,993,865",0.64%,118,180,179,182
Mali,"2,667.00",,125,,"1,993.00",549,,131,6,"32,716.00","1,610.00","20,325,303",5.90%,187,148,188,45
Tunisia,"2,543.00",116,63,3,"1,397.00","1,083.00",8,215,5,"119,193.00","10,071.00","11,835,528",4.32%,149,155,177,78
Slovenia,"2,536.00",43,129,,"2,079.00",328,3,"1,220.00",62,"147,091.00","70,752.00","2,078,978",5.84%,66,71,112,46
Lithuania,"2,528.00",32,82,1,"1,747.00",699,6,931,30,"594,478.00","218,825.00","2,716,679",4.48%,20,98,125,70
South Sudan,"2,494.00",,47,,"1,290.00","1,157.00",,222,4,"12,044.00","1,074.00","11,211,590",3.52%,191,162,175,87
Gambia,"2,401.00",113,81,4,435,"1,885.00",,990,33,"10,781.00","4,445.00","2,425,361",15.70%,174,94,119,10
Estonia,"2,227.00",20,63,,"2,009.00",155,,"1,679.00",47,"138,166.00","104,146.00","1,326,661",3.04%,51,83,96,100
Guinea-Bissau,"2,149.00",32,33,,"1,015.00","1,101.00",5,"1,089.00",17,"1,500.00",760,"1,974,061",3.15%,192,118,116,97
Benin,"2,095.00",,39,,"1,705.00",351,,172,3,"107,057.00","8,801.00","12,164,164",2.24%,155,169,183,132
Angola,"2,044.00",29,93,1,742,"1,209.00",24,62,3,"64,747.00","1,962.00","32,995,591",11.14%,182,169,197,20
Iceland,"2,040.00",5,10,,"1,913.00",117,1,"5,973.00",29,"191,690.00","561,236.00","341,550",0.52%,10,99,43,186
Syria,"2,008.00",81,82,4,460,"1,466.00",,114,5,,,"17,555,909",15.13%,,155,189,11
Sierra Leone,"1,969.00",8,69,,"1,536.00",364,,246,9,,,"7,998,386",4.30%,,137,173,79
Yemen,"1,899.00",7,541,2,"1,058.00",300,,63,18,120,4,"29,912,082",33.83%,195,114,196,7
Uganda,"1,750.00",94,19,3,"1,194.00",537,,38,0.4,"336,713.00","7,332.00","45,923,374",1.57%,162,184,204,153
New Zealand,"1,654.00",5,22,,"1,531.00",101,6,331,4,"657,506.00","131,446.00","5,002,100",1.42%,38,162,160,159
Bahamas,"1,610.00",79,23,1,211,"1,376.00",61,"4,089.00",58,"8,449.00","21,457.00","393,759",9.83%,128,75,58,24
Malta,"1,510.00",40,9,,802,699,,"3,419.00",20,"166,348.00","376,602.00","441,708",1.11%,13,112,75,168
Uruguay,"1,506.00",13,41,1,"1,242.00",223,3,433,12,"154,431.00","44,435.00","3,475,415",3.20%,95,132,155,96
Jordan,"1,498.00",16,11,,"1,261.00",226,3,147,1,"720,972.00","70,566.00","10,217,009",0.86%,67,177,184,172
Cyprus,"1,395.00",10,20,,878,497,5,"1,154.00",17,"263,943.00","218,392.00","1,208,574",2.23%,21,118,113,133
Aruba,"1,387.00",91,6,1,277,"1,104.00",2,"12,983.00",56,"17,669.00","165,395.00","106,829",2.12%,30,76,15,138
Georgia,"1,370.00",9,17,,"1,108.00",245,,344,4,"315,142.00","79,021.00","3,988,076",1.51%,61,162,159,155
Latvia,"1,327.00",1,33,,"1,093.00",201,,705,18,"232,918.00","123,686.00","1,883,144",2.93%,41,114,133,107
Botswana,"1,308.00",,3,,136,"1,169.00",1,555,1,"93,420.00","39,620.00","2,357,895",2.16%,103,177,144,136
Burkina Faso,"1,297.00",12,55,,"1,034.00",208,,62,3,,,"20,976,858",5.05%,,169,197,58
Liberia,"1,284.00",2,82,,803,399,,253,16,,,"5,073,177",9.27%,,122,170,26
Togo,"1,212.00",22,27,,878,307,2,146,3,"55,741.00","6,713.00","8,304,024",2.98%,164,169,185,102
Jamaica,"1,192.00",46,14,,772,406,1,402,5,"49,215.00","16,610.00","2,962,971",1.78%,135,155,156,144
Niger,"1,169.00",2,69,,"1,082.00",18,,48,3,"9,052.00",372,"24,315,155",5.99%,193,169,202,43
Andorra,"1,024.00",,53,,875,96,1,"13,250.00",686,"137,457.00","1,778,642.00","77,282",5.71%,1,4,14,49
Vietnam,"1,007.00",13,25,,542,440,,10,0.3,"817,208.00","8,385.00","97,458,937",4.41%,157,187,211,71
Lesotho,996,50,30,,423,543,,464,14,"12,033.00","5,611.00","2,144,591",6.62%,169,128,153,39
Réunion,996,51,5,,657,334,3,"1,111.00",6,"35,419.00","39,521.00","896,196",0.76%,104,148,115,176
Chad,972,1,76,,869,27,,59,5,,,"16,486,068",8.04%,,155,199,30
Sao Tome and Principe,888,3,15,,829,44,,"4,042.00",68,"3,432.00","15,621.00","219,700",1.78%,137,66,59,145
Guyana,846,70,29,2,399,418,8,"1,075.00",37,"6,502.00","8,261.00","787,081",6.78%,158,89,117,37
Trinidad and Tobago,767,81,12,,140,615,3,548,9,"18,036.00","12,882.00","1,400,123",7.89%,143,137,145,31
Diamond Princess,712,,13,,651,48,4,,,,,,1.96%,,,,142
San Marino,704,,42,,657,5,,"20,742.00","1,237.00","6,511.00","191,833.00","33,941",6.01%,24,1,4,42
Channel Islands,613,,48,,545,20,,"3,521.00",276,"68,985.00","396,276.00","174,083",8.09%,12,23,69,29
